ÅÅÃû,ËÑË÷´Ê,ËÑË÷Ôö³¤·ù¶È,ËÑË÷ÈËÆø,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170728,ÈÕÆÚ£º20170729,ÈÕÆÚ£º20170730,ÈÕÆÚ£º20170731,ÈÕÆÚ£º20170801,ÈÕÆÚ£º20170802,ÈÕÆÚ£º20170803
129,ËâÄà´óÂë,0.75,258,2.9324,236,0.08,0,,,,,,,2.9324
130,ÓÒµÀÅ£×Ð¿ã,0.75,147,1.3939,58,0,0,2.3889,,,,,,1.3939
131,ÐÒÔËÅ®º¢Å£×Ð¿ã,0.75,147,0.9692,119,0,0,,0.6087,,,0.8333,,0.9692
132,¿ãñÃÈ¹Å£×Ð,0.75,147,0.5091,80,0,0,,,1,,,,0.5091
133,ÆæÉ«,0.75,396,0.371,35,0,0,,,1.0806,,,,0.371
134,ÀöÀö¼Ò,0.75,205,3.8,147,0,0,,,,,,,3.8
135,Ã«±ßÐ¡½Å¿ã,0.75,147,1.2667,69,0,0.62,,2.8534,,,,,1.2667
136,Å£×Ð¿ãÇ°¿ª²æ,0.75,205,1.0333,138,0,0.13,,,1.0698,,,,1.0333
137,Å£×Ð¿ã ÈÕÏµ,0.75,147,0.875,58,0,0.57,,,,,,,0.875
138,½ôÉí¿ãÅ£×Ð,0.7333,243,1.2549,172,0,0.9,,,,,1.2459,,1.2549
139,¿ã×Ó¸öÐÔ,0.7308,371,0.4535,129,0,0.63,0.7292,,,,,,0.4535
140,±³´ø ³¤¿ã,0.7273,189,1.3855,119,0,0.73,,,,,,,1.3855
141,anceÅ£×Ð¿ã,0.7273,189,0.64,110,0,0,,0.8257,,0.9273,,,0.64
142,ËÉ½ôÑüÐ¡½Å¿ã,0.7273,189,0.2647,58,0,1.03,0.5556,,,,,,0.2647
143,Ç¦±Ê¶Ì¿ã,0.7143,129,1.2333,35,0.3333,0,,,,,,,1.2333
144,µ¤Äþ¿ã,0.7143,228,1.4531,100,0,0.57,,,,,1.6327,,1.4531
145,¼â¶ËÒ»ºÅ,0.7143,129,1.1875,110,0.1,0,,,0.8491,,,,1.1875
146,ÈÈ¿ãulzzang,0.7143,129,0.5172,58,0,0.29,0.9167,,,,,,0.5172
147,Å£×ÐÎ¢À®°È,0.7143,129,1.0598,110,0,0.59,,,0.75,,,,1.0598
148,´å³¤¼Ò,0.7143,1502,4.3827,1381,0.028,0.34,,,,,,,4.3827
149,¶Ì¿ã2017,0.7143,129,1.5714,35,0,0.51,,,,,,,1.5714
150,³¬¶Ì¿ã°×,0.7143,129,2.1364,119,0.1818,0,,,,,,,2.1364
151,ÈÈ¿ã ÖÐÑü,0.7143,129,4.5769,69,0.1667,0.51,,,,,,,4.5769
152,½ôÉí Å£×Ð¿ã,0.7143,129,1.4286,69,0.1667,0.9,,,,,,,1.4286
153,ºÚÉ«Ã«±ß¿ã,0.7143,129,1.9394,58,0,0.38,,,,4.0682,,,1.9394
154,ÉîÀ¶¶Ì¿ã,0.7,172,0.3846,58,0,0,,,,,,,0.3846
155,¶Ì¿ã ÆÆ¶´,0.6957,333,1.2676,197,0.05,0.55,,,,,,,1.2676
156,11726i518,0.6923,213,0.4688,155,0,0,,,,,,,0.4688
157,ÏòÈÕ¿û¶Ì¿ã,0.6923,213,1.9688,155,0,0,,,,,,,1.9688
158,²»¹æÔò³¬¶Ì¿ã,0.6923,213,2.3596,129,0,0,,,,,,,2.3596
159,only¼ô±ê,0.6875,250,4.0495,172,0.1176,0,,,,,,,4.0495
160,ÄÐÅóÓÑÅ£×Ð¿ã,0.6842,286,1.5319,181,0,0.58,0.9756,,,,,,1.5319
161,Ö±Í²Å£×Ð,0.6774,414,1.218,155,0,0.3,,,,,,,1.218
162,Å£×Ð¿ã Çï¶¬,0.6765,443,0.5923,172,0,0.59,,,2.0315,,,,0.5923
163,ulzzang½ôÉí¿ã,0.6757,471,0.686,258,0,0,,,,,,,0.686
164,swagÖíÖí,0.6719,699,6.0608,681,0.0097,0,,,,,,,6.0608
165,°®¿ÏÅ£×Ð¿ã,0.6667,110,0.52,69,0,0,,,,,,,0.52
166,²¤ÂÜÅ£×Ð¿ã,0.6667,110,0.7632,47,0,0,,,,,,,0.7632
167,ÒÁ»ªÅ·ÐãÅ£×Ð¿ã,0.6667,155,1.0562,119,0,0.24,,1.5156,,,0.8095,,1.0562
168,cocablueÅ£×Ð¿ã,0.6667,110,1.6471,58,0,0,,,,,2.8776,,1.6471
169,öÎ¶ùµÏÄÎÆì½¢µê,0.6667,110,2,80,0.1429,0,,,,,,,2
170,topÅ£×Ð¿ã,0.6667,155,0.3488,69,0,0,,,,,,1.75,0.3488
171,levis ±³´ø¿ã,0.6667,110,1.1522,58,0,0.21,1.2727,,,,,,1.1522
172,yzblÅ£×Ð¿ã,0.6667,110,1.2159,90,0,0,,,,,3.4872,,1.2159
173,ÑÌ»ÒÉ«Ð¡½Å¿ã,0.6667,110,1.5238,80,0.1429,0,,,,1.2549,,,1.5238
174,Ã«±ß Å£×Ð¿ã,0.6667,155,1.3247,147,0,0.86,,,1.381,,2.1847,,1.3247
175,awha73213,0.6667,110,1.64,110,0,0,,,,,,,1.64
176,Å£×Ð¿ã Ðå»¨,0.6667,110,1.2692,58,0,0.9,,,1.25,,,,1.2692
177,midiostudioÅ£×Ð¿ã,0.6667,155,1.7368,90,0,0,1.6,1.4865,,1.1186,,,1.7368
178,Ç§×Ó5001,0.6667,110,1.1364,90,0.125,0,,,,,,,1.1364
179,ºìÉ«³¬¶Ì¿ã,0.6667,110,0.3333,47,0.25,0,,,,,,,0.3333
180,´óÍõ ¶Ì¿ã,0.6667,197,3.0256,138,0,1.31,,,,,,,3.0256
181,117249501,0.6667,155,0.5833,110,0,0,,,,,,,0.5833
182,ËºÆÆÅ£×Ð¿ã,0.6667,197,3.8451,119,0,0,1.42,,,2.0778,,,3.8451
183,È±¿ÚÅ£×Ð¿ã,0.6667,236,1.913,181,0,0.28,,0.7778,,0.9077,,,1.913
184,ÀËµÏÍ¼Æì½¢µê,0.65,293,2.7889,220,0.087,0,,,,1.878,,,2.7889
185,¶Ì¿ãchic,0.6389,454,1.7134,333,0.0256,0.34,,,,,,,1.7134
186,jfstudio,0.6364,181,4.6591,172,0.0588,0,,3.6341,,,,,4.6591
187,mtime,0.6364,181,2.3636,58,0,0,,,,,,,2.3636
188,Ô­ËÞ³¬¶Ì¿ã,0.6316,279,1.4762,220,0,0,,1.0935,,,,,1.4762
189,À®°È¿ã¸´¹Å,0.625,138,3.5849,100,0,0.31,,,,,,,3.5849
190,Å£×Ð¿ã³¬¶Ì¿ã,0.625,138,1.3537,100,0.3333,0.32,0.8,,1.5385,,,,1.3537
191,Å£ÄÌ¶Ì¿ã,0.625,243,0.4,10,0,0,,,,,,,0.4
192,¾Å·Ö¿íËÉ¿ã,0.625,138,0.5652,80,0,1.56,,2.1622,,,0.4516,,0.5652
193,117132524,0.625,138,0.3939,90,0,0,,,,,,,0.3939
194,Ã«±ßÅ£×Ð,0.625,138,2.1,47,0.25,0.66,,0.4516,,,,,2.1
195,sofiaÅ£×Ð¿ã,0.625,138,1.2442,100,0,0,,,,1.1447,,,1.2442
196,ÅÖÃÃÃÃÅ£×Ð¿ãÈ¹,0.625,138,0.8667,110,0,0,,,,,,,0.8667
197,ÈÈ¿ãÂ¶ÍÎ,0.625,138,3.2623,129,0,0.09,,,4.013,,,,3.2623
198,Å£×Ð¿ã ¿ª²æ,0.6154,205,1.4034,155,0,0.74,2,,,,2.4368,,1.4034
199,Å£×ÐÏÄ,0.6154,205,1.3171,90,0,0,,,,,0.6897,,1.3171
200,ÈÈ¿ãµÍÑü,0.6154,205,2.7111,147,0.0714,0.55,,,,,,,2.7111
201,¿ã ¸ßÑü,0.6071,371,0.5568,119,0,0.81,,,,,0.2989,,0.5568
202,lalabobo¶Ì¿ã,0.6061,419,0.995,293,0.0303,0,,,,,,,0.995
203,Å£×ÐËÉ½ô¿ã,0.6,164,0.7119,90,0.125,0.77,0.6176,,1.5139,,,,0.7119
204,10013385,0.6,164,0.5185,90,0,0,,,,,,,0.5185
205,ÃÀÏ£Å£×Ð¿ã,0.6,164,0.7925,110,0,0,,,1.2,,,,0.7925
206,Å£×Ð¿ã Å®Ñ§Éú,0.6,164,1.2549,110,0.1,0.57,,1.4887,,1.1562,,,1.2549
207,µÆÁý¿ãÅ£×Ð,0.6,228,1.2967,164,0,0.57,,,,,,,1.2967
208,Ñ§Éú³¬¶Ì¿ã,0.6,164,1.7736,80,0,0.51,0.7402,,,,,,1.7736
209,±»´ø¿ãÅ®,0.6,164,0.54,110,0,0.9,,,,,,,0.54
210,darimi Å£×Ð¿ã,0.6,647,1.4097,449,0,0,,,,,,,1.4097
211,Ç°¿ªñÃÅ£×Ð¿ã,0.6,164,1.0769,100,0.1111,0,0.9375,,1.4035,1.4306,,,1.0769
212,majeÅ£×Ð¿ã,0.5882,250,1.5704,205,0,0,,,,,,,1.5704
213,Å£×Ð¿ãÇ¦±Ê,0.5882,250,1.0625,100,0,0.96,,0.6543,,1.2414,,,1.0625
214,196303,0.5833,189,1.4026,172,0,0,1.595,,,2.1843,,,1.4026
215,¿Ú´üÅ£×Ð¿ã,0.5833,189,1.0588,119,0,0.28,,,,,,,1.0588
216,Ä¦°ÂÅ£×Ð¿ã,0.5833,189,1.1846,119,0,0,0.8298,0.9121,,,0.6341,,1.1846
217,Ìù²¼Å£×Ð¿ã,0.5789,272,0.6901,110,0,1,,1.2807,,,,,0.6901
218,snidelÅ£×Ð¿ã,0.5789,272,1.9784,205,0.0476,0,,,,,,,1.9784
219,µÍÑüÅ£×Ð,0.5789,272,1.5789,147,0.0714,0,,,,,0.8333,,1.5789
220,Ó¢¹ú¸ñ¸ñ,0.5714,119,3.28,119,0.2727,0,,,,,2.1389,,3.28
221,·Ûºì±ª¿ã,0.5714,119,2.1538,69,0.1667,0,,,,,,,2.1538
222,¼ÓÃÞÅ£×Ð¿ã,0.5714,119,0.8696,35,0,1.47,,,,,0.3889,,0.8696
223,mikibanaÅ£×Ð¿ã,0.5714,119,1.3939,100,0,0,,,,,1.4,,1.3939
224,iuÅ£×Ð¿ã,0.5714,119,0.7143,90,0,0,,,,,,,0.7143
225,muruaÅ£×Ð¿ã,0.5714,119,3.88,80,0,0,,1.3038,,,,,3.88
226,Å£×Ð¿ãÈý·Ö,0.5714,119,0.3333,23,0,0,,,,,,,0.3333
227,zsrs,0.5714,213,1.3556,100,0,0.74,,,,,1.1463,,1.3556
228,11736i519,0.5714,119,0.381,69,0,0,,,,0.1429,,,0.381
229,½ôÉí¿ã¶Ì¿ã,0.5714,119,0.4,35,0,1.16,,,0.45,,,,0.4
230,Ó³Óö,0.5714,213,1.925,155,0.0667,0,,,1.6842,,,,1.925
231,¶¬¼¾³¬¶Ì¿ã,0.5714,119,0.4,58,0,0,,,,,,,0.4
232,Î¢À®Æß·Ö¿ã,0.5625,236,1.1901,189,0.0526,0.69,,,,,,,1.1901
233,Ã×À­ÈðÆæ,0.5588,419,2.0731,365,0.0227,0.73,1.8673,,,,,,2.0731
234,Á÷ËÕÅ£×Ð,0.5556,147,0.6538,47,0,0,,,,2,,,0.6538
235,ÕæÎÒÓÀºãÅ£×Ð¿ã,0.5556,147,0.6552,129,0.0833,0,,,,,,,0.6552
236,ÀËÖ®×íÅ®¿ã,0.5556,147,0.1579,23,0,0,,,,,,,0.1579
237,Å®º¢×ÓÅ£×Ð¿ã,0.5556,147,0.5312,69,0,0.85,0.5652,,,,0.439,,0.5312
238,Å®Ê¿Ð¡ÍÈ¿ã,0.5556,147,0.325,69,0,0.82,,,0.1905,,0.625,,0.325
239,Ñ§Éú¸ßÑü,0.5556,147,2.5714,147,0,0.26,,,,1.561,,,2.5714
240,µõ´ø Å£×Ð¿ã,0.5556,147,0.4444,58,0,0.68,,,0.8,,,,0.4444
241,¿íËÉÀ«ÍÈ,0.5556,258,2.791,197,0.1,0.28,1.5263,,,,1.0377,,2.791
242,lalabobo Å£×Ð¿ã,0.5556,147,1.3778,69,0,0.63,,,,,,,1.3778
243,±³´ø¿ãÃÔ²Ê,0.5556,147,0.8052,58,0,0.54,1.1143,,,,,,0.8052
244,¹ÅÀ¼Å£×Ð¿ã,0.5556,147,1.3846,129,0,0,,,1.2364,,,,1.3846
245,Å£×Ð¿ã°×,0.5517,371,1.6376,228,0.0417,0.85,,,,,,,1.6376
246,topshop mom,0.55,279,2.2609,250,0.1111,0.19,,2.0497,,,,,2.2609
247,Å£×Ð¿ãÅÖÃÃÃÃ,0.55,279,1.4394,189,0.0526,0.98,,,,,1.1161,,1.4394
248,ÒÂÒÂÒÂÅ£×Ð¿ã,0.5455,300,1.6667,258,0,0,,,,,,,1.6667
249,Ã«±ßÎ¢À®¿ã,0.5455,172,1.3775,138,0,0.49,,,0.6667,,,,1.3775
250,5h7340590,0.5455,172,0.9155,138,0.0769,0,,,,,,,0.9155
251,¸ßÑü¿ãÇï,0.5455,300,0.6264,155,0,0,,,,,,,0.6264
252,·­±ßÅ£×Ð¿ã,0.54,552,1.4327,396,0,0.44,,,,,,,1.4327
253,¶Ì±³´ø¿ã,0.5333,220,0.7982,172,0,0.46,,,1.418,,,,0.7982
254,±³´ø¿ãbf,0.5333,220,1.9597,155,0.0667,0.43,,,,,,,1.9597
255,ÆÆ¶´³¬¶Ì¿ã,0.5238,286,1.5801,236,0.12,0.39,,,,,,,1.5801
256,Ë«É«Å£×Ð¿ã,0.52,326,1.8092,172,0,0,,,,,,,1.8092
257,¶Ì¿ã±³´ø,0.5143,419,1.4317,279,0.0323,0.77,,,,,,,1.4317
258,½ôÉíÈÈ¿ã,0.5102,536,2.2912,425,0.0741,0.59,,,,,,,2.2912
259,ÆÆ¶´¿ã ¸ßÑü,0.5077,657,1.1753,358,0.093,0.6,,,,,,,1.1753
260,Å£×Ð¿ãÖÐÑ§Éú,0.5,129,0.5263,35,0,1.36,,,,,,,0.5263
261,Å®Ñ§ÉúÂí¿ã,0.5,129,1.1667,35,0,0.5,,,,,,,1.1667
262,Çà¹¤³§,0.5,129,2.7692,110,0,0,,,4.3871,,,,2.7692
