ÅÅÃû,ËÑË÷´Ê,ËÑË÷Ôö³¤·ù¶È,ËÑË÷ÈËÆø,µã»÷ÂÊ,µã»÷ÈËÆø,Ö§¸¶×ª»¯ÂÊ,Ö±Í¨³µ²Î¿¼¼Û,ÈÕÆÚ£º20170728,ÈÕÆÚ£º20170729,ÈÕÆÚ£º20170730,ÈÕÆÚ£º20170731,ÈÕÆÚ£º20170801,ÈÕÆÚ£º20170802,ÈÕÆÚ£º20170803
70,kalanxiu,1,164,1.25,138,0,0,,,,,,,1
71,¸ßÑü¿ã Ñ§Éú,1,129,0.5417,58,0,0.29,,,,,,,1
72,¸è¶½,1,129,1.6667,110,0,0,,0.5,,,,,1
73,³óÑ¾Í·Å£×Ð¿ã,1,164,2.3253,110,0,0,,,,,,,1
74,À­ÏÄ±´¶ûÆÆ¶´¿ã,1,129,2.0476,100,0,0,,,,,,,1
75,¿¨Âê±³´ø¿ã,1,129,1.0189,100,0,0.4,,0.5,,,,,1
76,yestudios,1,129,6.4242,129,0,0,,,,,,,1
77,117149541,1,197,0.58,155,0,0,,,,,,0.6667,1
78,117249535,1,164,0.9375,119,0,0,,,,,,,1
79,Ò¹µêÈÈ¿ã,1,129,2.625,110,0,0.28,,,,,,,1
80,°¢ÜÇÐùÆì½¢µê,0.9524,346,1.475,293,0.0303,0,,,,,,,0.9524
81,Å£×Ð¿ã³¬¶Ì,0.9355,460,1.1164,279,0.129,0.42,,,,,,,0.9355
82,±³´ø¿ã¶¬¼¾,0.9286,250,0.25,47,0,0.57,,0.75,,,,,0.9286
83,Å£×Ð¿ãÅ·»õ,0.9231,236,1.32,129,0,0.55,,,,1,,,0.9231
84,ÑÌ»ÒÅ£×Ð¿ã,0.9167,220,0.7846,110,0,0,,,,1,,,0.9167
85,Å£×Ð¿ã´óÍ¯,0.9091,205,0.3256,80,0,1.54,,,,,,,0.9091
86,ÎõÊÀ½çÅ£×Ð¿ã,0.9,189,0.951,138,0,0.44,,,,,,0.6667,0.9
87,Î÷»§,0.8889,172,2.396,119,0,0,,,,,,,0.8889
88,±³´ø¿ã ·ÛÉ«,0.8889,172,3.6232,119,0.0909,0.43,,,,,,,0.8889
89,É­ÏµÅ£×Ð¿ã,0.8889,172,0.8554,129,0,0,0.4545,,,,0.7778,,0.8889
90,ÓÅÒÂ¿â196303,0.8889,172,1.8144,164,0.0625,0,0.6,,,,0.6667,,0.8889
91,Í¬¿î ±³´ø¿ã,0.875,155,0.7222,80,0,0.36,,0.6667,,,0.8333,,0.875
92,°Ë·Ö¿ãÅ®Ñ§Éú,0.875,155,2.987,110,0,0.62,,,,0.5,0.6667,,0.875
93,°üÉíÅ£×Ð¿ã,0.875,155,0.5625,69,0,0,,0.4375,,,0.5385,,0.875
94,¶Ì¿ã ²»¹æÔò,0.875,155,1.1695,119,0,0.38,,,0.4,,,,0.875
95,Ç³É«ÆòØ¤¿ã,0.875,155,1.102,155,0.3333,0,,,,0.625,,,0.875
96,dazzleÅ£×Ð¿ã,0.875,155,0.9821,129,0,0,,,,,,,0.875
97,Ç³À¶É«Å£×Ð,0.875,155,0.7812,47,0,0.14,,,,,,,0.875
98,117332501,0.875,155,0.3824,90,0,0,,,,,,,0.875
99,Å£×Ð¿ã½¥±äÉ«,0.8571,138,0.5769,23,0,0.38,,,,0.5714,,,0.8571
100,ÕÅ´óÞÈ¶Ì¿ã,0.8571,138,1.3571,129,0,0,,,,,,,0.8571
101,¶Ì¿ãÐ¡Âë,0.8571,138,2.1613,58,0,0.43,,,,,,,0.8571
102,Å£×ÐÏÔÊÝ,0.8571,138,1.8,69,0,0.23,,,,,1,,0.8571
103,ripped jeans,0.8571,138,0.2632,35,0,0,,,,,,,0.8571
104,elandÅ£×Ð¿ã,0.8571,243,1.1325,164,0,0.69,,,0.5,,,0.75,0.8571
105,Å£×Ð¿ã ¶¬,0.8571,138,3.2353,35,0,0.47,,,,,,,0.8571
106,Ã«±ß¿ãÅ®,0.8571,138,1.4861,100,0.2222,0.39,,0.4286,,,,,0.8571
107,Å®¿î´óÂë,0.8571,138,0.5556,69,0.1667,0.68,,,,,,,0.8571
108,¿Ú´ü±³´ø¿ã,0.8333,119,0.9315,58,0,0.2,,,,,,,0.8333
109,µõ´ø¿ã Å£×Ð,0.8333,119,0.7778,90,0,0.68,,,,,,,0.8333
110,ÖÐ¼äÖµÅ£×Ð¿ã,0.8333,119,1.4615,80,0.1429,0,,,0.6667,,,,0.8333
111,Å£×Ð×¨Âôµê,0.8333,119,0.0588,10,0,0,,,,,,,0.8333
112,jnbyÅ£×Ð¿ã,0.8333,119,1.26,100,0,0,,,,,,,0.8333
113,Ì©¹úÅ£×Ð¿ã,0.8333,213,1.5238,138,0,0,,,0.8889,,,,0.8333
114,10013381,0.8333,119,0.3125,47,0,0,,,,,,,0.8333
115,Í¼ÓÅ¶ä,0.8333,119,1.697,100,0.2222,0,,,,,,,0.8333
116,Èüµä,0.8333,119,1.1695,80,0,0,,,,,,,0.8333
117,117249526,0.8333,119,0.4211,47,0,0,,,,,,,0.8333
118,À³Ë¹¹»,0.8125,265,2.2796,220,0,0.16,,,,,,,0.8125
119,Ñ§Ôº·çÅ£×Ð¿ã,0.8,313,1.3786,189,0,0.37,,,,,,,0.8
120,¿¨ÂØÅ«Æì½¢µê,0.8,250,2.075,213,0.0909,0,,,1.5,0.4,,,0.8
121,rag bone,0.8,371,0.4717,129,0,0.53,,,,,,,0.8
122,³Î¾²,0.8,250,3.6164,213,0.0909,0,0.7692,,0.4444,,0.7222,,0.8
123,mjstyleÅ£×Ð¿ã,0.7857,236,0.9722,197,0.05,0,,,,,,,0.7857
124,Ã¨ßäÅ£×Ð¿ã,0.7778,164,4.0435,119,0.0909,0.18,1.2857,,0.5385,,,,0.7778
125,ÆÆ¶´¿ã ±¡¿î,0.7742,431,0.5393,110,0,0.17,,,,,,,0.7742
126,·ç×Ë¸è,0.7692,220,2.9412,181,0,0.77,,1.1818,,,,,0.7692
127,²»¹æÔòÈÈ¿ã,0.75,205,1.9425,147,0.2857,0.25,,,0.8667,,,,0.75
128,¹þÂ×¿ã Å£×Ð,0.75,205,1.0169,119,0.0909,1.18,,,,,,,0.75
129,ËâÄà´óÂë,0.75,258,2.9324,236,0.08,0,,,,,,,0.75
130,ÓÒµÀÅ£×Ð¿ã,0.75,147,1.3939,58,0,0,0.4167,,,,,,0.75
131,ÐÒÔËÅ®º¢Å£×Ð¿ã,0.75,147,0.9692,119,0,0,,0.5,,,0.4286,,0.75
132,¿ãñÃÈ¹Å£×Ð,0.75,147,0.5091,80,0,0,,,0.6,,,,0.75
133,ÆæÉ«,0.75,396,0.371,35,0,0,,,0.4138,,,,0.75
134,ÀöÀö¼Ò,0.75,205,3.8,147,0,0,,,,,,,0.75
135,Ã«±ßÐ¡½Å¿ã,0.75,147,1.2667,69,0,0.62,,1,,,,,0.75
136,Å£×Ð¿ãÇ°¿ª²æ,0.75,205,1.0333,138,0,0.13,,,1,,,,0.75
137,Å£×Ð¿ã ÈÕÏµ,0.75,147,0.875,58,0,0.57,,,,,,,0.75
138,½ôÉí¿ãÅ£×Ð,0.7333,243,1.2549,172,0,0.9,,,,,0.3684,,0.7333
139,¿ã×Ó¸öÐÔ,0.7308,371,0.4535,129,0,0.63,0.3333,,,,,,0.7308
140,±³´ø ³¤¿ã,0.7273,189,1.3855,119,0,0.73,,,,,,,0.7273
141,anceÅ£×Ð¿ã,0.7273,189,0.64,110,0,0,,0.5,,0.3125,,,0.7273
142,ËÉ½ôÑüÐ¡½Å¿ã,0.7273,189,0.2647,58,0,1.03,0.4545,,,,,,0.7273
143,Ç¦±Ê¶Ì¿ã,0.7143,129,1.2333,35,0.3333,0,,,,,,,0.7143
144,µ¤Äþ¿ã,0.7143,228,1.4531,100,0,0.57,,,,,0.4231,,0.7143
145,¼â¶ËÒ»ºÅ,0.7143,129,1.1875,110,0.1,0,,,0.5,,,,0.7143
146,ÈÈ¿ãulzzang,0.7143,129,0.5172,58,0,0.29,0.6667,,,,,,0.7143
147,Å£×ÐÎ¢À®°È,0.7143,129,1.0598,110,0,0.59,,,0.7,,,,0.7143
148,´å³¤¼Ò,0.7143,1502,4.3827,1381,0.028,0.34,,,,,,,0.7143
149,¶Ì¿ã2017,0.7143,129,1.5714,35,0,0.51,,,,,,,0.7143
150,³¬¶Ì¿ã°×,0.7143,129,2.1364,119,0.1818,0,,,,,,,0.7143
151,ÈÈ¿ã ÖÐÑü,0.7143,129,4.5769,69,0.1667,0.51,,,,,,,0.7143
152,½ôÉí Å£×Ð¿ã,0.7143,129,1.4286,69,0.1667,0.9,,,,,,,0.7143
153,ºÚÉ«Ã«±ß¿ã,0.7143,129,1.9394,58,0,0.38,,,,0.8333,,,0.7143
154,ÉîÀ¶¶Ì¿ã,0.7,172,0.3846,58,0,0,,,,,,,0.7
155,¶Ì¿ã ÆÆ¶´,0.6957,333,1.2676,197,0.05,0.55,,,,,,,0.6957
156,11726i518,0.6923,213,0.4688,155,0,0,,,,,,,0.6923
157,ÏòÈÕ¿û¶Ì¿ã,0.6923,213,1.9688,155,0,0,,,,,,,0.6923
158,²»¹æÔò³¬¶Ì¿ã,0.6923,213,2.3596,129,0,0,,,,,,,0.6923
159,only¼ô±ê,0.6875,250,4.0495,172,0.1176,0,,,,,,,0.6875
160,ÄÐÅóÓÑÅ£×Ð¿ã,0.6842,286,1.5319,181,0,0.58,0.5385,,,,,,0.6842
161,Ö±Í²Å£×Ð,0.6774,414,1.218,155,0,0.3,,,,,,,0.6774
162,Å£×Ð¿ã Çï¶¬,0.6765,443,0.5923,172,0,0.59,,,1.8889,,,,0.6765
163,ulzzang½ôÉí¿ã,0.6757,471,0.686,258,0,0,,,,,,,0.6757
164,swagÖíÖí,0.6719,699,6.0608,681,0.0097,0,,,,,,,0.6719
