热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
404,2017春夏新款大码女士高腰牛仔裤女九分裤胖mm弹力显瘦小脚铅笔裤价格：138,开口笑fushi,41,42,21,//shop108178186.taobao.com,327,343,343,,254,257,473,422,297,421,304,271,290,404
405,弹力新款春夏女士韩版中腰秋牛仔长裤薄款学生女显瘦小脚铅笔裤女价格：96,依美啦牛仔裤专家,41,42,30,//yimeila.taobao.com,301,487,487,369,474,493,345,440,478,353,415,362,390,405
406,破洞牛仔裤女春夏季2017新款薄款韩版不规则九分裤修身显瘦小脚裤价格：168,伊华蔻旗舰店,41,41,20,//evacoco.tmall.com,,315,315,478,411,344,499,479,406,488,451,448,429,406
407,Dnvie黑色高腰小脚牛仔裤女2017新款春秋显瘦韩版潮百搭紧身长裤价格：299,dnvie旗舰店,41,41,48,//dnvie.tmall.com,,,,,,,,,,,,,237,407
408,牛仔裤女九分裤2017春夏新款破洞卷边韩版高腰紧身显瘦小脚铅笔裤价格：253,索依巴旗舰店,41,42,29,//suoyiba.tmall.com,,,,,,278,440,479,487,404,366,296,418,408
409,俞兆林七分牛仔裤女 夏季2017新款高腰弹力百搭薄款小脚7分裤女潮价格：118,曼岛服饰专营店,41,41,30,//mandaofs.tmall.com,,4,4,8,155,335,455,420,448,390,155,382,423,422
410,2017夏秋新款破洞高腰牛仔裤女直筒修身显瘦小脚裤九分裤薄款宽松价格：196,迪尼姆旗舰店,41,41,34,//dinimu.tmall.com,,,,,,,,,177,396,,,,410
411,显瘦牛仔裤女长裤小脚裤2017春夏季新款秋装韩版潮高腰薄款女裤子价格：129,雅来特旗舰店,41,41,26,//yalaite.tmall.com,270,233,233,221,257,284,446,349,355,404,403,269,,411
412,佐丹奴牛仔裤 女装精工猫须洗水弹力棉修身显瘦窄脚裤女05416027价格：260,佐丹奴官方旗舰店,41,42,33,//giordano.tmall.com,,320,320,,,,,,,,,,,458
413,M初棉2017夏装新款前短后长九分牛仔裤女 弹力修身牛仔九分裤女价格：169,初棉旗舰店,41,41,21,//chumian.tmall.com,424,,,,401,311,469,,,484,,,401,413
414,15夏秋14少女裤13初中学生16岁女孩松紧腰长裤铅笔小脚牛仔裤加长价格：118,秦淮霓裳裤子店,40,40,32,//kuzhuangdian.taobao.com,,,,,,479,,438,438,416,,,413,425
415,牛仔裤女夏季薄款九分裤2017新款高腰修身显瘦韩版学生小脚长裤子价格：169.8,依情蜜语,40,40,30,//pwp1.taobao.com,,,,405,322,357,283,385,383,451,397,457,366,426
416,黑色膝盖破洞牛仔裤女九分裤新款韩版高腰显瘦弹力毛边小脚铅笔裤价格：168,潮依裤CYK,40,40,21,//yueranniuzai.taobao.com,,,,460,472,,455,,426,441,,453,496,430
417,2017春秋新款黑色牛仔裤女弹力小脚修身显瘦紧身韩版学生铅笔九分价格：148,伍尔柒服饰旗舰店,40,41,19,//wuerqi.tmall.com,441,478,478,409,492,385,465,365,406,447,365,457,355,417
418,伊芙丽2017新款韩版春夏季百搭显瘦铅笔裤破洞牛仔裤女九分裤价格：598,伊芙丽官方旗舰,40,40,25,//eifini.tmall.com,146,389,389,,130,225,256,362,,445,291,,,463
419,春季新款松紧腰胖MM大码弹力紧身收腹小脚学生高腰牛仔裤女长裤价格：150,纯纯牛仔屋,40,47,28,//shop113661458.taobao.com,,424,424,356,442,476,378,403,432,343,402,349,346,419
420,高腰黑色膝盖破洞牛仔裤女九分小脚铅笔长裤弹力修身显瘦BF乞丐裤价格：399,嘉汇旗舰店,40,40,15,//jiahuifs.tmall.com,,,,,479,348,459,,337,495,492,390,,420
421,3711 秋季新款韩版高弹力牛仔裤女黑色修身高腰打底裤小脚裤潮价格：22.99,第六神话华玉美衣女装成衣性价比之王外贸批发零售,40,44,25,//thesixthmyths.taobao.com,,,,,,,,,,,,,,421
422,高腰牛仔裤女小脚裤弹力显瘦学生长裤修身春秋新款排扣紧身大码潮价格：249,澜克利莎折扣店,40,41,22,//nz2010.taobao.com,484,,,359,287,255,393,250,385,368,460,351,399,422
423,Five Plus2017新品女夏装棉质洗水破洞小脚牛仔裤长裤2JM2061290价格：599,fiveplus官方旗舰店,40,40,23,//fiveplus.tmall.com,,,,,422,,,,,,,,,423
