热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
198,2017黑色新款破洞牛仔裤女春季韩版九分裤学生铅笔裤女高腰小脚裤价格：98,十翼旗舰店,80,80,23,//tenflank.tmall.com,244,203,203,118,108,98,109,92,87,123,85,102,71,80
199,牛仔裤女九分裤春夏季2017新款高腰显瘦不规则毛边膝盖破洞小脚裤价格：168,WH 韩版原创定制,80,81,15,//shop117245319.taobao.com,120,109,109,91,153,127,115,132,97,101,89,89,72,80
200,破洞牛仔裤女春夏季2017新款时尚九分裤韩版薄款显瘦高腰百搭小脚价格：128,锦衣玉行工厂直销店,79,79,18,//shop100062567.taobao.com,23,29,29,69,127,131,119,168,149,76,57,64,63,79
201,烟灰色高腰牛仔裤女夏长裤紧身小脚裤2017秋装新款女韩版黑色裤子价格：149,欧选昕罗专卖店,79,80,22,//ouxuanxl.tmall.com,37,31,31,22,23,31,30,35,45,46,63,65,77,79
202,束脚哈伦裤牛仔长裤女春夏季2017新款宽松韩版高腰学生松紧腰秋装价格：99,梦希曼旗舰店,79,79,17,//mengximan.tmall.com,33,40,40,57,53,44,44,72,41,50,49,76,48,79
203,momo高腰弹力牛仔裤小脚裤九分裤毛边修身显瘦四季百搭韩版女装潮价格：79,佰丽坊时尚馆,79,79,11,//bestfun123.taobao.com,64,62,62,47,49,52,67,74,55,60,77,68,82,79
204,2017秋装新款修身显瘦黑色磨破洞牛仔裤韩版百搭铅笔长裤女学生潮价格：31.8,转角1号精品女装店,78,78,15,//zhuanjiaoyihao.taobao.com,74,71,71,76,70,66,81,78,74,58,69,82,70,78
205,【今天特价】2017韩国新款高腰紧身牛仔裤女春夏显瘦铅笔裤高弹性价格：298,玥兒莎,78,78,24,//weibo99.taobao.com,80,53,53,62,76,57,51,72,62,70,62,64,55,78
206,2017新款牛仔裤七分裤女夏春季破洞薄款小脚韩版7分牛仔马裤中裤价格：109,百度衣裳,77,78,22,//shop141337092.taobao.com,117,91,91,90,89,104,76,92,223,188,79,86,80,77
207,牛仔裤女九分显瘦韩版秋季紧身小脚铅笔女裤春夏季2017新款长裤潮价格：79,絮述旗舰店,75,75,12,//xushu.tmall.com,69,63,63,68,86,66,67,70,66,60,66,63,76,75
