热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170628,日期：20170629,日期：20170630,日期：20170701,日期：20170702,日期：20170703,日期：20170704
112,2017新款七分牛仔裤女小脚修身弹力高腰薄款中裤翻边百搭马裤女夏价格：299,柔伊美旗舰店,451,-0.0153,190,156,116,119,104,99,109,112
113,韩都衣舍韩版2017女装夏季新款超短裤显瘦毛边白色牛仔短裤GS6520价格：188,韩都衣舍旗舰店,450,8.6519,159,,,,113,,,113
114,夏装2017新款韩版百搭显瘦毛边流苏高腰牛仔阔腿短裤学生热裤女潮价格：129.9,优购女装独家定制,444,0.2082,119,142,99,123,128,121,144,114
115,牛仔五分裤女夏宽松bf风2017新款韩版高腰破洞牛仔短裤chic中裤女价格：219,尚蔓蒂旗舰店,443,-0.4472,160,282,236,246,242,17,50,115
116,新款高腰黑色显瘦卷边牛仔裤女韩版春夏季百搭女士九分铅笔小脚裤价格：198,绒懿旗舰店,443,-0.0414,179,76,67,82,92,105,102,116
117,2017春夏新款韩版高腰不规则毛边白色牛仔短裤女学生个性热裤子女价格：110,圣妮儿旗舰店,437,0.0474,138,166,132,149,124,107,118,117
118,LRUD牛仔裤女2017夏装新款韩版高腰破洞牛仔短裤黑色宽松阔腿热裤价格：110,lrud旗舰店,435,0,171,,,,,,,118
119,牛仔短裤女夏白色高腰卷边宽松显瘦2017新款a字韩版学生阔腿热裤价格：199,WDXJ 独家定制,434,0.1487,229,49,38,99,116,122,130,119
120,2017新款松紧腰牛仔短裤女夏韩版高腰薄款毛边热裤修身显瘦翻边裤价格：258,艾酷佳人女装品牌店,433,-0.0105,245,105,88,79,91,108,116,120
121,韩版新款女装牛仔裤女显瘦高腰休闲牛仔短裤女夏季百搭破洞热裤潮价格：17.88,壹号人家女装批发,430,0.0508,198,136,121,101,105,113,120,121
122,2017夏季白色牛仔短裤女高腰宽松刺绣破洞学生显瘦阔腿裤毛边热裤价格：99,KOKO LADY时尚女装,430,-0.1137,96,83,124,124,114,109,103,122
123,湔韩都衣舍2017韩版女装夏装新款直筒磨破显瘦牛仔短裤NG5191茵价格：228,韩都衣舍旗舰店,422,10.7424,179,,,,356,,,123
124,夏装女装韩版基础款高腰宽松阔腿裤2017新款卷边短裤牛仔裤显瘦潮价格：29.88,可可里小姐,419,-0.0765,182,100,89,96,88,92,110,124
125,红记夏季新款韩版高腰宽松灰色牛仔短裤女松紧腰显瘦卷边阔腿热裤价格：99,红记旗舰店,415,-0.713,164,,,,4,23,15,125
126,牛仔短裤女2017春夏季新款学生高腰白色百搭超短热裤韩版宽松显瘦价格：88,旗维斯旗舰店,408,-0.0875,147,120,147,115,121,111,113,126
127,天天特价新款韩版时尚开叉牛仔裤高腰宽松显瘦阔腿九分裤女学生潮价格：36.8,三角衣柜,406,0.0352,117,,469,,416,207,121,127
128,乐町2017夏装新款女装潮绣花牛仔短裤港味裤子热裤女夏显瘦直筒裤价格：309,乐町官方旗舰店,406,0,134,,,,,,,128
129,蜜妃儿2017夏季新款女装韩版高腰牛仔短裤女夏热裤显瘦不规则下摆价格：116,蜜妃儿旗舰店,406,-0.1798,124,119,145,,35,66,98,129
130,2017春夏季新款破洞牛仔裤女九分裤韩版宽松显瘦乞丐小脚裤哈伦裤价格：189,风恬旗舰店,402,0.0862,142,137,122,94,118,131,140,130
131,2017新款韩版高腰毛边破洞牛仔短裤女夏季宽松显瘦浅色阔腿热裤潮价格：108,vekees服饰旗舰店,401,-0.1491,129,236,170,21,26,110,105,131
132,牛仔背带短裤女夏装2017新款韩版宽松高腰显瘦学生百搭阔腿连体裤价格：89,FANG WOMEN 阿文定制女装,397,-0.0308,59,147,137,157,139,146,119,132
133,2017夏季破洞牛仔短裤女 韩版磨破大码毛边卷边薄款显瘦热裤子价格：128,美丽印象私人订制,397,0.0059,206,157,114,126,127,116,122,133
134,粉色彩边牛仔短裤女夏2017新款韩版流苏破洞宽松阔腿热裤高腰显瘦价格：109,简尚轩,395,-0.0995,150,36,35,60,60,79,115,134
135,夏季韩版女装学生短裤百搭高腰显瘦阔腿裤破洞毛边牛仔短裤短裙潮价格：24.9,QGZ七公主女装,395,0.1164,167,319,263,244,175,134,151,135
136,牛仔短裤女夏2017新款白色宽松韩版学生高腰修身百搭显瘦阔腿热裤价格：90,韩曼惠旗舰店,390,0.0047,213,457,287,197,167,145,128,136
137,韩版chic学院风宽松显瘦浅色牛仔背带裤女学生休闲阔腿短裤连体裤价格：26.8,七格格女衣坊,388,0.0274,173,145,134,106,108,96,134,137
138,高腰阔腿白色牛仔短裤女夏学生百搭宽松显瘦a字大码翻边韩版热裤价格：108,布衣天成旗舰店,387,0.0292,144,176,119,151,115,115,141,138
139,牛仔短裤女夏破洞高腰毛边阔腿超短裤学生热裤显瘦宽松百搭短裤子价格：148,纯儿服饰旗舰店,385,-0.7512,162,,,,,469,13,139
140,买一送一高腰牛仔短裤女2017新款春季韩版显瘦百搭学生超短裤女夏价格：79,皇朝御纺旗舰店,383,-0.0193,178,237,222,145,120,128,125,140
141,TeenieWeenie小熊夏女休闲百搭卷边刺绣牛仔短裤TTTJ62651E价格：398,TeenieWeenie官方旗舰店,377,0,214,391,,,,,,141
142,牛仔短裤女春夏季高腰修身显瘦卷边竹节棉高弹力韩版新款百搭热裤价格：88,揭阳泽宏贸易有限公司,376,-0.2236,267,103,,365,,142,101,142
143,2017新款百搭牛仔短裤女夏季学生毛边高腰宽松阔腿裤韩版a字热裤价格：69,千蝶芙旗舰店,376,8.3626,201,,,,,,,143
144,2017新款高腰破洞白色牛仔短裤女夏韩版宽松显瘦毛边学生阔腿热裤价格：198,FunFunGirl 韩国女装,374,-0.0035,208,163,139,128,130,158,135,144
145,牛仔短裤女夏2017新款大码胖mm宽松百搭韩版阔腿休闲天丝五分热裤价格：119,三桔旗舰店,374,-0.0374,145,239,155,125,126,140,126,145
146,2017春夏季新款韩版浅色破洞牛仔裤女高腰宽松显瘦九分裤哈伦裤子价格：168,巩迪旗舰店,374,0.0389,168,223,157,134,148,123,148,146
147,小番茄定制裙裤女夏季时尚2017新款显瘦牛仔短裤韩版宽松小热裤价格：109,小番茄 定制,374,0.0238,94,107,135,152,179,130,143,147
148,弹力紧身破洞七分牛仔裤女夏铅笔七分裤薄款修身小脚中裤百搭夏季价格：249,澜克利莎工厂店,373,0.0212,197,172,125,103,119,119,142,148
149,牛仔短裤女夏季2017新款韩版宽松高腰超短牛仔裤显瘦阔腿毛边热裤价格：79,FJW Awen定制女装,372,0.0259,120,109,136,150,163,129,147,149
150,韩图莎牛仔背带短裤女夏宽松2017新款韩版翻边时尚学生连体背带裤价格：79,韩图莎旗舰店,370,0.6506,201,216,,,36,166,274,150
151,牛仔短裤女夏2017新款韩版高腰学生宽松破洞卷边阔腿裤显瘦热裤潮价格：298,奥兰可儿旗舰店,370,0.0694,169,,429,253,369,147,154,151
152,2017黑色新款破洞牛仔裤女春季韩版九分裤学生铅笔裤女高腰小脚裤价格：128,十翼旗舰店,366,-0.0054,181,185,146,154,125,112,139,152
153,夏季新款高腰牛仔短裤女士松紧腰宽松四分裤a裤排扣大码收腹胖mm价格：199,狐卡尼网上商城,364,-0.0395,228,169,141,129,154,144,136,153
154,破洞牛仔短裤女高腰宽松2017夏新款韩版显瘦流苏毛边学生阔腿热裤价格：120,可奈丽莎旗舰店,363,0.1303,118,234,216,176,172,170,160,154
155,LRUD2017夏装女装新款韩版高腰弹力针织牛仔短裤女显瘦阔腿裤热裤价格：110,lrud旗舰店,361,0,186,,,,,,,155
156,湔韩都衣舍2017夏季新款韩版高腰卷边短裤牛仔裤女GQ6622耒价格：208,韩都衣舍旗舰店,360,9.5761,168,,,,380,,,156
157,牛仔春夏季2017新款学生显瘦韩版高腰宽松阔腿女士胖mm白色超短裤价格：55,雅羊人旗舰店,353,0.0889,205,200,161,121,157,132,162,157
158,左唐高腰牛仔短裤女夏季学生宽松胖mm 大码显瘦毛边a字阔腿热裤子价格：169,左唐直销店,352,0.186,114,213,316,213,233,156,181,158
159,春夏女装2017韩版个性百搭不规则破洞毛边牛仔短裤高腰显瘦阔腿裤价格：29.98,可可里小姐,349,-0.0002,187,108,97,117,123,120,150,159
160,高腰牛仔短裤女夏季弹力白色A字破洞卷边韩版宽松大码阔腿热裤潮价格：79,艾莲奴旗舰店,348,0.195,176,196,182,139,150,148,188,160
